pc;freq
mestrado profissionalizante;1
metáfora;1
metáfora do teatro;1
metáforas;1
metas e acordos coletivos;1
metatriagulação;1
método científico;1
método colaborativo;1
método de máximas diferenças;1
método de pesquisa;2
metodologia;5
metodologia da pesquisa;1
metodologia de pesquisa;1
metodologia de pesquisa em administração;1
métodos de avaliação;1
métodos de coleta de dados;1
métodos de pesquisa;2
métodos de preço;1
métodos de produção;1
métodos de tratamento de dados;1
métricas de competitividade;1
michael porter;1
micro e pequenas empresas;2
microeletrônica;1
microfinanças verdes;1
microinformática;1
middle manager;1
mídia;1
mídias sociais;1
migração;1
mimetismo;1
miopia de mercado;1
missão internacional;1
missão social;1
mitos;1
mobilidade;2
mobilization trajectories;1
moda;1
modelagem;1
modelagem de equações estruturais;5
modelagem de processo de negócio;1
modelo;1
modelo 3m;1
modelo causal;1
modelo comportamental de fishbein e ajzen;1
modelo de decisão;1
modelo de equações estruturais (mee);1
modelo de negócios;1
modelo de negócios com impacto social;1
modelo de replicação;1
modelo de risco proporcional de cox;1
modelo de satisfação acsi modificado;1
modelo do sistema viável;1
modelo ecológico social;1
modelo fleuriet;1
modelo japonês;1
modelo japonês de gestão;1
modelo matemático de redes;1
modelo seci;1
modelo sueco de organização do trabalho;1
modelos de carreira;1
modelos de entrada;1
modelos de gestão;2
modelos de internacionalização;1
modelos dinâmicos e estáticos;1
modelos econométricos;1
modelos estratégicos;1
modelos multinível;1
moderadores;1
modernidade organizacional;1
modernismo;1
modernização;3
modernização técnica;1
modismos;1
modo de operação;1
modos de entrada;1
monolinguismo;1
moralismo;1
mortalidade;1
morte;1
mosaico;1
motivação;6
motivação internacional;1
motores de crescimento;1
movement formation;1
movimentos sociais;2
mpa;1
mrpii;1
mudança;5
mudança cultural;1
mudança de paradigma;1
mudança demográfica;1
mudança organizacional;17
mudança radical;1
mudança social;1
mudança tecnológica;1
mudança tecnológica e organização do trabalho;1
mudanças climáticas;1
mudanças culturais e nas relações de poder nas organizações;1
mudanças de métodos de gestão;1
mudanças estruturais;1
mudanças institucionais;1
mudanças na organização da produção;1
mudanças organizacionais;1
mulher;1
mulher gerente;1
multiculturalismo;1
multinacionais;2
multinacionais brasileiras;2
multinacionais emergentes;1
mundo da vida (lebenswelt);1
música popular brasileira;1
nacional;1
nacionalidade;1
nafta;1
narcisismo;2
narratologia;1
nbr iso 9004-2;1
necessidades intrínsecas;1
negociação;1
negociação coletiva;1
negócios;2
negócios básicos;1
negócios com impacto social;1
negócios inclusivos;1
negócios internacionais;3
negócios sociais;3
neo-institucionalismo;2
neoinstitucionalismo;1
neurose de excelência;1
neurose profissional traumática;1
níveis de análise;1
nível de empregos;1
nível de significância dos dados;1
nomadismo involuntário;1
normalidade da distribuição de taxas de retorno;1
normas societais relativas ao trabalho;1
nostalgia;1
nova gestão pública;1
nova revolução gerencial;1
nova sociologia econômica;1
novas estratégias tecnológicas de risco;1
novas formas de organização da produção;1
novas lojas;1
novas perspectivas de análise de rh;1
novas políticas;1
novas tecnologias;1
novas tecnologias de informação;1
novo acordo de capital da basiléia;1
novo mercado;1
novo paradigma do trabalho;1
novo quadro de relações entre trabalhadores;1
novos negócios;2
o&m;2
objetivos de preço;1
objetivos estratégicos;1
objetivos nas organizações;1
observação participante;2
ocupação;1
óleo de cozinha utilizado;1
olfato;1
ontologia;2
opções reais;1
operações bancárias online;1
oportunidade;1
option pricing model;1
orçamento de capital;1
orçamento empresarial;1
orçamento mental;1
orçamento participativo digital;1
orçamento promocional;1
orçamento tradicional;1
ordem pré-moderna;1
organização;5
organização de empresas;2
organização de ensino superior privada;1
organização de pesquisa e desenvolvimento;1
organização do trabalho;5
organização e métodos;2
organização flexível;1
organização formal;1
organização hospitalar;1
organização industrial;1
organização inovadora sustentável;1
organização para a cooperação e desenvolvimento econômico (ocde);1
organização por processos;2
organização virtual;1
organização voltada para o cliente;1
organizações;14
organizações ambidestras;1
organizações autentizóticas;1
organizações emergentes;1
organizações híbridas;2
organizações humanizadas;1
organizações modernas;1
organizações não-governamentais;1
organizações religiosas;1
organizações saudáveis;1
organizações sem fins lucrativos;1
organizações sociais;2
organizações substantivas;2
órgão gestor da mão-de-obra (ogmo);1
orientação analítica;1
orientação empreendedora;1
orientação estratégica;2
orientação para o mercado;4
orientação para o mercado externo;1
otimização;1
otimização multiobjetivo;1
otimização quadrática;1
ouro preto;1
pacientes;1
padrões de excelência gerencial;1
padrões de sustentabilidade;1
padronização;3
pagamento;1
painel de dados;1
países emergentes;3
papéis e responsabilidades;1
papéis estratégicos;1
papel de rh;1
paquistão;3
paradigma;3
paradigma scp;1
paradigmas;1
paradoxos;2
paradoxos organizacionais;1
parceiras público-privadas;1
parceria;3
parcerias;1
parcerias em exploração de petróleo;1
pareto;1
parque científico-tecnológico;1
parques tecnológicos;1
participação;1
participação de universidades;1
participação dos trabalhadores na gestão;1
participação em resultados;1
participação nos lucros;1
participação popular;1
patrocínio;2
patrocínio empresarial;1
pedagogia crítica;1
pedagogia do olhar;1
pequena e média empresa;1
pequenas e médias empresas;3
pequenas empresas;3
pequenos negócios;1
percepção;3
percepção de sucesso;1
percepção dos outros consumidores;1
percepções das partes interessadas;1
performance;4
performance empresarial;1
performatividade crítica;1
periódicos;1
periódicos científicos;1
periódicos de finanças;1
persistência dos lucros;1
personalidade;5
perspectiva histórica;1
perspectivas internacionais;1
perspectivas sociológicas;1
perspicácia estética;1
persuasão;1
pesquisa;1
pesquisa-ação;1
pesquisa-intervenção;1
pesquisa bibliométrica;1
pesquisa científica;1
pesquisa de café;1
pesquisa de consumo;1
pesquisa de gestão;1
pesquisa de marketing;1
pesquisa documental;2
pesquisa e desenvolvimento;2
pesquisa em administração;5
pesquisa em contabilidade;1
pesquisa em negócios internacionais;1
pesquisa internacional;1
pesquisa pelo correio;1
pesquisa qualitativa;5
pesquisa social;2
pesquisadores;1
pesquisas de negócios;1
pesquisas de opinião pública;1
pessoa com deficiência intelectual;1
pessoas com deficiência;2
petroquímica;1
pilares da competitividade;1
pin;1
planejamento;1
planejamento de marketing;1
planejamento estratégico;4
planejamento governamental;1
plano;1
planos de estabilização;1
planos de pagamento;1
planos de saúde;2
planos de serviço pós-pagos;1
plr;1
pls;1
pmes madeireiras;1
pobreza;2
poder;9
poder e tecnologia;1
poder organizacional e novas tecnologias nas empresas;1
poder pastoral;1
política brasileira;1
política cultural;1
política de concorrência;1
política de dividendos;1
política de preços;1
política de saúde;1
política econômíca;1
política energética;1
política fiscal;1
política industrial e de comércio exterior;1
política organizacional;1
políticas de diversidade;1
políticas de gestão de recursos humanos;1
políticas de governo;1
políticas de inclusão;1
políticas industriais e tecnológicas;1
políticas públicas;4
pólos tecnológicos;1
ponto de equilíbrio;1
portabilidade;1
porte empresarial e indústria eletroeletrônica;1
porterismo;1
portfolios;1
portos;1
pós-colonialismo;3
pós-estruturalismo;1
pós-graduação;1
pós-graduação lato sensu;1
pós-modernismo;3
pós-venda;1
posição na rede;1
posicionamento;1
posicionamento estratégico;1
potencial de consumo;1
potencial de mercado;3
potencial de vendas;1
poupança;1
poupança interna;1
prática;3
prática em operações;1
praticantes;1
práticas administrativas;1
práticas de contabilidade gerencial;1
práticas de grupo;1
práticas de responsabilidade social corporativa;1
práticas de ti verde;1
práticas e políticas administrativas;1
práxis;1
prazer;1
prazer e dor;1
prazos de financiamento de empresas;1
pré-controle;1
preço;2
preços de venda;1
preços em saúde;1
preços hedônicos;1
preferências;1
preferências afetivas na família;1
prevenção;1
previdência privada;1
previsão de falência bancária;1
previsão de resultados esportivos;1
prioridades axiológicas laborais;1
privatização;2
probability of informed trading;1
problema de agência;2
problemas conceituais na pesquisa organizacional;1
processo;2
processo-contínuo;1
processo-integrador-de-formação-da-estratégia;1
processo de estratégia;1
processo de formação estratégica;2
processo de internacionalização;1
processo de internacionalização das empresas;1
processo de maturidade;1
processo de planejamento;1
processo de trabalho;1
processo e relações de trabalho;1
processo estratégico;1
processo orçamentário;1
processos;3
processos de negócio;1
processos de negócios;1
processos empresariais;1
processos organizacionais;1
processos produtivos;1
produção;3
produção artística;1
produção bibliográfica;1
produção científica;8
produção e consumo sustentáveis;1
produção intelectual;1
produção mais limpa;1
produtividade;8
produtividade dos autores em finanças;1
produtivismo acadêmico;1
produto;2
produtor;1
produtos acabados;1
profissão de contador;1
profissionalismo;1
profissionalização;1
programa de marketing;1
programa nova baixada;1
programas de qualidade;1
programas de responsabilidade social;1
programas de treinamento;1
progresso tecnológico;1
projeto automotivo;1
projeto de sistema de produção;1
projeto do trabalho;1
projetos colaborativos;1
promoção;1
promoção de venda;1
promoção de vendas;1
pronaf;1
propensão a comportamentos éticos;1
propensão a inovar em tecnologia da informação;1
propensão de compra;1
propriedade;1
propriedade familiar;1
propriedade industrial;1
proteção;1
proteção ao investidor;1
proteção dos acionistas minoritários;1
proventos;2
proximidade cultural;1
psicanálise;1
psicologia ambiental;1
psicologia do investidor;1
psicologia do trabalho;1
psicologia econômica;1
psiconeurose profissional;1
publicação;1
publicações científicas;1
q de qualidade turística;1
q de tobin;1
qualidade;6
qualidade da informação contábil;2
qualidade de relacionamento;1
qualidade de serviço;1
qualidade de vida;3
qualidade do ensino;1
qualidade do lucro;1
qualidade do serviço;1
qualidade e produtividade;1
qualidade percebida;4
qualidade total;2
qualificação;2
qualificação profissional;1
qualitativa;1
questionário por correio;1
racionalidade;3
racionalidade instrumentai;1
racionalidade instrumental;2
racionalidade limitada;1
racionalidade substantiva;2
racionalismo;1
racionalização;1
racionalização de empresas;1
racismo;1
rae-eletrônica;1
rank test;1
ranking;1
rastreabilidade;1
rating;1
realidade;1
recebimento de informações;1
recessão;2
reciclagem;1
reciprocidade;1
reclamações;1
recompra de ações;1
reconhecimento;1
reconhecimento assimétrico dos resultados;1
reconversão industrial;1
recuperação de serviços;1
recursos;2
recursos e autonomia das subsidiárias;1
recursos e capacidades de ti;1
recursos humanos;9
recursos intangíveis;1
recursos internos da empresa;1
recursos organizacionais;1
rede asta;1
rede colaborativa;1
rede de compra coletiva;1
redes;4
redes de cooperação;1
redes de empresas;1
redes de franquias;1
redes de pesquisa;1
redes de produção;1
redes de subsidiárias;1
redes estratégicas;1
redes informais intra-organizacionais;1
redes internacionais;1
redes neurais;1
redes organizacionais;1
redes sociais;8
redes verticais;1
redesenho de processos;1
redistribuição;1
redução-reorganização do tempo de trabalho (2rt);1
redução de estoques;1
reembolso;1
reengenharia de negócios;1
reengenharia de processos;1
reestruturação;2
reestruturação da indústria;1
reestruturação de empresas públicas;1
reestruturação produtiva;1
referências;1
reforma administrativa;1
reforma do estado;3
região;1
região demarcada do douro;1
regime tecnológico;1
regionalização na cee;1
regressão;1
regressão à média;1
regressão logística;4
regressão logit;1
regressão múltipla não-linear;1
regressão ordinal;1
regressão probit;1
regulação de conflitos;1
regulamentação;1
regulamentação bancária;1
relação ator-estrutura;1
relação em rede;1
relação orientador-orientando;1
relacionamento;1
relacionamento com clientes;1
relacionamento empresaconsumidor;1
relacionamento entre variáveis;1
relacionamento estado x estatais;1
relacionamento interorganizacional;1
relacionamentos;1
relacionamentos colaborativos;1
relacionamentos comprador-fornecedor;1
relacionamentos interorganizacionais;1
relações;1
relações com investidores;1
relações de poder;2
relações de trabalho;5
relações econômicas luso-brasileiras;1
relações intergovernamentais;2
relações interorganizacionais;3
relevância;1
relevância da informação contábil;1
remuneração;2
remuneração flexível;1
remuneração internacional;1
renda;2
renovação organizacional;1
rentabilidade;2
rentabilidade de produto;1
representações sociais;1
reputação corporativa;2
resiliência na cadeia de suprimentos;1
resistência;1
resistência à mudança;2
resistência translocal;1
resistências;1
responsabilidade ambiental percebida;1
responsabilidade organizacional;1
responsabilidade social;7
responsabilidade social corporativa;8
responsabilidade social das grandes empresas;1
responsabilidade social empresarial;3
responsabilidade social universitária;1
responsabilidade socioambiental;1
responsabilidades;1
responsabilização;1
responsividade social;1
restrição;1
restrição de capital;1
restrições;1
resultado econômico;1
resultado econômico da saúde;1
resultado operacional;1
resultados contábeis;1
resultados do impacto social;1
resultados do treinamento;1
resultados empresariais;2
resultados organizacionais;2
retenção de clientes;1
retorno sobre o investimento;1
retroalimentação do processo de treinamento;1
retrospecto;1
revisão multiparadigmática;1
rigor;1
rigor acadêmico;1
rio+20;1
risco;1
risco de crédito;1
risco e retorno;2
risco percebido;1
risco sistemático e custo de capital;1
risco socioambiental;1
riscos sociais do computador;1
rotatividade;1
rotinas organizacionais;2
royalties;1
rsq;1
saber fazer;1
saberes;1
sacs;1
salários;1
satisfação;10
satisfação com a vida;1
satisfação com serviços;1
satisfação com treinamento;1
satisfação do cliente;2
satisfação do consumidor;1
satisfação dos consumidores;2
satisfação laboral;1
satisfação no trabalho;1
saúde individual;1
saúde organizacional;1
segmentação de mercado;3
segurança do trabalho;1
seguridade;1
seguros;1
seleção de portfólios;1
seletividade;1
self;1
sensacionismo;1
sentidos do trabalho;2
sentimentos;1
serviço;1
serviços;6
servqual;1
setor aeroespacial;1
setor bancário;1
setor calçadista;1
setor coureiro-calçadista;1
setor de componentes para calçados;1
setor de telecomunicações;1
setor de transporte aéreo;1
setor elétrico;2
setor industrial;1
sidney;1
significado do trabalho;3
simbolismo organizacional;1
simulação;1
simulação computacional;1
sinais;1
sincronização;1
sinergia;1
sinergias;1
sinergias nos negócios;1
sinergias operacionais;1
síntese em estratégia;1
sistema;1
sistema agroalimentar;1
sistema agroindustrial;1
sistema da qualidade;2
sistema de controle;1
sistema de gestão de pessoas de alta performance;1
sistema de informação em marketing;1
sistema de informação geográfica participativa;1
sistema de produção;1
sistema de saúde pública;1
sistema holístico-ambiental;1
sistema público de saúde;1
sistemas;1
sistemas de apoio à decisêo;1
sistemas de aprendizado;1
sistemas de gestão;1
sistemas de incentivo gerencial;1
sistemas de informação;1
sistemas de informação de saúde;1
sistemas de informação em saúde;1
sistemas de informações;1
sistemas de informações geográficas;1
sistemas de medição balanceados;1
sistemas de quiosque;1
sistemas de saúde;1
sistemas flexíveis;1
sistemas geográficos de informação;1
sistemas geográficos de informação (gis);1
sistemas produtivos;1
sistemas sócio-técnicos;1
sobre-reação;1
sobre-reação do mercado;1
social movements;1
socialização organizacional;1
socialização política;1
sociedade;2
sociedade civil;1
sociedade da ordem;1
sociedade industrial;1
sociedade pós-industrial;1
sociedades brasileiras de capital aberto;1
sociedades multinacionais;1
sociedades não ocidentais;1
sociologia;1
sociologia da crítica;1
sociologia do conhecimento;1
sociologia do trabalho;1
sociologia econômica;4
sociologia francesa;1
sociologia pragmática francesa;1
software;1
software livre;1
solidariedade digital;1
solvência;1
split;1
stakeholder;1
stakeholders;2
status socioeconômico;1
strategizing;1
stress;2
stress do estudante;1
sub-reação;1
subcontratação;1
subjetivação;1
subjetividade;1
sublime;1
subscrição;1
subsidiarias;1
subsidiárias;1
subsistência;1
substituição de importações;1
sucessão;1
suds;1
sujeito competente;1
supermercado;1
supermercados;4
suprimento de componentes;1
survey;2
survey em finanças;1
sustentabilidade;8
sustentabilidade corporativa;1
sweatshop;1
tabagismo;1
taxa de cã¢mbio;1
taxa de investimento;1
taxa de juros;2
taxa inicial;1
teatro;1
teatro organizacional;1
técnicas;1
técnicas de pesquisa;1
tecnicização do trabalho;1
tecnologia;9
tecnologia da informação;6
tecnologia da informação e comunicação para o desenvolvimento;1
tecnologia da informação móvel e sem fio;1
tecnologia de informação;3
tecnologia de informação e comunicação;2
tecnologia e processo de trabalho;1
tecnologia limpa;1
tecnologias ambientais;1
tecnologias da informação e comunicação;1
tecnologias de educação a distã¢ncia;1
tecnologias de gestão;1
telecomunicações;1
telefonia móvel;1
telemática;1
telenovelas;1
teletrabalho;1
televisão;2
teminais privativos;1
tempestividade da informação;1
tempo de relacionamento;1
tempo de trabalho;1
tempo de utilização dos equipamentos (due);1
tempo livre;1
tensão dinâmica;1
tensão mental;1
tensões;1
teoria;2
teoria adaptativa;1
teoria administrativa;1
teoria ator-rede;2
teoria bayesiana de decisão;1
teoria crítica;6
teoria da ação comunicativa;1
teoria da complexidade;1
teoria da contingência;1
teoria da curva em u;1
teoria da escolha racional;1
teoria da estruturação;1
teoria da utilidade;1
teoria das organizações;8
teoria das partes interessadas;1
teoria das representações sociais;1
teoria de avaliação de negócios;1
teoria de clusters;1
teoria de redes;1
teoria de schwartz;1
teoria do discurso político;1
teoria dos campos;1
teoria dos conjuntos fuzzy;1
teoria dos recursos;1
teoria estruturacionista;1
teoria gerencial;1
teoria institucional;8
teoria moderna de finanças;1
teoria organizacional;6
teoria popperiana e administração;1
teoria prospectiva;1
teoria sócio-econômica das empresas e organizações;1
teoria sociológica;1
teorias de administração pública com base sociopolítica;1
teorias de gestão;1
teorias de negócios internacionais com base em eficiência;1
teorias institucionais e de partes interessadas;1
teorias modernas de poder;1
teorias motivacionais;1
teorias organizacionais anti-management;1
terceirização;5
territorialidade;1
territórios;1
teses;1
teste empírico;1
ti verde;1
tipologia de processos de internacionalização;1
tipologia do empreendedor;1
tipos de assimilação;1
tipos ideais;1
títulos públicos;1
tolerância à ambiguidade;1
tomada de decisão;2
top management team;1
toyotismo e just-in-time;1
trabalhador-pesquisador;1
trabalhadores no espaço sem fronteiras;1
trabalho;8
trabalho artístico e cultural;1
trabalho bancário;1
trabalho confinado;1
trabalho de enfermagem;1
trabalho de escritório;1
trabalho e lazer;1
trabalho escravo;2
trabalho temporário;1
tracking error;1
trade marketing;1
tradução;1
trágico;1
transações intercompanhias;1
transferência;1
transferência de conhecimento;1
transferência de renda;1
transferência de riqueza;1
transferência de tecnologia;1
transformação organizacional;1
transgressões;1
transições;1
translocalidade;1
transnational mobilization;1
treinamento;1
treinamento e desempenho;1
treinamento em marketing;1
tributos diferidos;1
tropicalismo;1
turbulência;1
turismo;2
turismo acessível e turismo sênior;1
turista;1
ucinet-draw;1
universalismo;1
universidade;1
universidade corporativa;1
universitários;1
upp;1
upper echelon theory;1
usabilidade;1
uso estratégico da informação;1
uso social da tecnologia;1
usuários;1
vaidade;1
vale dos sinos;1
validação;1
validação cruzada;1
validação de modelo;1
valor;4
valor da empresa;1
valor da firma;2
valor da marca;1
valor da ti;1
valor de mercado;1
valor do ciclo de vida do cliente;1
valor do cliente;1
valor do relacionamento;1
valor econômico agregado da saúde;1
valor hedônico;1
valor hedônico de compra;1
valor para o acionista;1
valor patrimonial da ação;1
valor percebido;1
valor presente;1
valor social compartilhado;1
valor utilitário;1
valoração do conhecimento;2
valores de compra do consumidor;1
valores humanos;1
valores intrínsecos;1
valores relativos ao trabalho;2
valorização da marca;1
vantagem competitiva;14
vantagens competitivas;1
vantagens específicas da firma;1
vantagens específicas do contexto;1
var estrutural;1
varejista;1
varejo;13
varejo de alimentos;1
varejo de moda;1
varejo eletrônico;1
varejo popular;1
variáveis;1
variáveis de política monetária;1
variáveis extrínsecas;1
variáveis intrínsecas;1
variáveis organizacionais;1
vbr;1
veículos;1
venda a prazo;1
vendas;1
vendas cruzadas;1
verbalização;1
verticalização;1
viabilidade além da sobrevivência;1
vida;2
vieses cognitivos;1
vínculos indivíduo-organização;1
visão baseada em recursos (vbr);1
visão baseada em recursos da firma;1
visão da empresa baseada em recursos;1
visão de negocio;1
visão estruturacional;1
volatilidade;1
vulnerabilidade;2
wilcoxon signed rank test;1
world economic forum;1
